Vereador(a),Ano,Processo,Emenda,Objeto,Forma de Execução,Beneficiário,Diretoria,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação,Observação
LUIS ANDRÉ,2025,00046.002641/2024-56,6/2025,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. ATENDIMENTO E OFERTA DE CUIDADOS INTEGRADOS EM OFTALMOLOGIA, CARDIOLOGIA E ORTOPEDIA.",INDIRETA,Clínica Batista Peggy Pemble,DRCAA,"R$ 1.334.000,00","R$ 1.334.000,00","R$ 1.334.000,00","100,00%",Em execução, Pago em sua totalidade. Aguardando 3ª Prestação de Contas
LUIS ANDRÉ,2026,00046.009572/2025-29,8/2026,Incremento temporário MAC para Ações Qualitativas por Estabelecimentos Contratualizados/Conveniados. Projeto Visão Infantil e Saúde Integral: Diagnóstico Oftalmológico e Avaliações Multiprofissionais com Entrega de Óculos em Teresina/PI ZONA RURAL LESTE.,INDIRETA,Clínica Batista Peggy Pemble,DAB,"R$ 1.168.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,No Conselho Municipal de Saúde de Teresina para análise da Habilitação da Organização.
LUIS LOBÃO,2025,00046.002627/2024-46,4/2025,Implementação de Ações de Educação Permanente no âmbito da assistência à saúde da FMS,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 1.000.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
MARKIM COSTA,2025,00046.002605/2024-58,7/2025,Implementação de Ações de Educação Permanente no âmbito da assistência à saúde da FMS,INDIRETA,FUNDAÇÃO DR. ROOSEVELT BASTOS,DAB,"R$ 337.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
MARKIM COSTA,2025,00046.002602/2024-42,8/2025,Implementação de Ações de Educação Permanente no âmbito da assistência à saúde da FMS,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
MARKIM COSTA,2025,00046.002601/2024-69,9/2025,Implementação de Ações de Educação Permanente no âmbito da assistência à saúde da FMS,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 497.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
NETO DO ANGELIM,2025,00046.002595/2024-37,7/2025,Implementação de Ações de Educação Permanente no âmbito da assistência à saúde da FMS,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DAB,"R$ 400.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
NETO DO ANGELIM,2025,00046.002596/2024-10,8/2025,Implementação de Ações de Educação Permanente no âmbito da assistência à saúde da FMS,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DAB,"R$ 933.900,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
PAULO LOPES,2025,00046.002576/2024-65,5/2025,Fortalecimento da ASSISTÊNCIA FARMACÊUTICA no âmbito da Atenção Primária em Saúde (UBS),DIRETA,FMS,DAB,"R$ 700.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Cotas orçamentárias não liberadas
PAULO LOPES,2025,00046.002577/2024-38,6/2025,Fortalecimento da ASSISTÊNCIA FARMACÊUTICA no âmbito da Atenção Primária em Saúde (UBS),DIRETA,FMS,DAB,"R$ 634.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Cotas orçamentárias não liberadas
POLLYANA ROCHA,2025,00046.002582/2024-97,1/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DAB,"R$ 493.276,88","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
POLLYANA ROCHA,2025,00046.002569/2024-60,7/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DAB,"R$ 839.188,18","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
PETRUS EVELYN,2026,00046.009574/2025-72,1/2026,Aquisição de Unidade Móvel de Saúde/SAMU - Compra de 2 Veículos Automotor Furgão,DIRETA,FMS,DAE,"R$ 725.117,01","R$ 0,00","R$ 0,00","0,00%",Em validação,Em licitação
PETRUS EVELYN,2026,00046.009576/2025-18,3/2026,Fomento às ações de Inclusão de usuários atendidos pelos CAPS na política Geração de Trabalho e Renda,DIRETA,FMS,DAE,"R$ 50.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,Está na DPLAN para fazer Plano de trabalho em conjunto com área técnica
PETRUS EVELYN,2026,00046.009579/2025-34,5/2026,Compra de Equipamentos para o Hospital de Urgência de Teresina (HUT),DIRETA,FMS,DAE,"R$ 781.882,99","R$ 0,00","R$ 0,00","0,00%",Em validação,Em licitação.
RENATO BERGER,2025,00046.002562/2024-55,1/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 610.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
RENATO BERGER,2025,00046.002563/2024-28,2/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 724.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Cotas orçamentárias não liberadas
