Vereador(a),Ano,Processo,Emenda,Objeto,Forma de Execução,Beneficiário,Diretoria,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação,Observação
EDILBERTO BORGES,2025,00046.002733/2024-94,1/2025,Estruturação da Atenção Primária em Saúde - Equipamentos Odontológicos,DIRETA,FMS,DAB,"R$ 1.335.000,00","R$ 79.120,80","R$ 79.120,80","100,00%","Finalizada, executada",
EDILBERTO BORGES,2026,00046.009442/2025-47,1/2026,Incremento temporário MAC para Ações Qualitativas por Estabelecimentos Contratualizados/Conveniados. Projeto Visão Infantil e Saúde Integral: Diagnóstico Oftalmológico e Avaliações Multiprofissionais com Entrega de Óculos em Teresina/PI ZONA NORTE,INDIRETA,Clínica Batista Peggy Pemble,DAB,"R$ 1.168.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,No Conselho Municipal de Saúde de Teresina para análise da Habilitação da Organização.
EDUARDO DRAGA ALANA,2026,00046.009455/2025-84,3/2026,"Realização de mutirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia.",INDIRETA,Fundação para o Desenvolvimento Sustentável do Estado do Piauí – FUNDESP,DRCAA,"R$ 1.407.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,Não foi enviada para a FMS.
EDUARDO DRAGA ALANA,2026,00046.009461/2025-19,8/2026,Aquisição de Equipamentos para Atenção Especializada (UPAS/Hospitais/Maternidades/CAPS). AQUISIÇÃO DE MATERIAIS CENTRO CIRURGICO DO CENTRO MARIA IMACULADA,INDIRETA,Ação Social Arquidiocesana,DAE,"R$ 50.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
EDUARDO DRAGA ALANA,2026,00046.009462/2025-89,9/2026,Reforma e manutenção de Unidades da Atenção Especializada. REFORMA DA AMA.,INDIRETA,Associação de Amigos dos Autistas do Piauí – AMA,DAE,"R$ 49.995,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
ELZUILA CALISTO,2025,00046.002715/2024-95,1/2025,Estruturação da Atenção Especializada em Saúde - Compra de Medicamentos,DIRETA,FMS,DAE,"R$ 1.334.000,00","R$ 1.329.657,16","R$ 884.516,16","88,43%",Em execução,"Foi anulado  R$ 329.444,31"
ELZUILA CALISTO,2026,00046.009471/2025-40,9/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. OCI OFTALMOLOGIA",INDIRETA,Clínica Batista Peggy Pemble,DAE,"R$ 200.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,Está na DPLAN aguardando alterações no plano de trabalho pela Clínica Batista.
ELZUILA CALISTO,2026,00046.009470/2025-67,8/2026,Incremento MAC - Fortalecimento da Rede Própria da Atenção Especializada da FMS,DIRETA,FMS,DAE,"R$ 600.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,Impedimento técnico. Situação no SEI diverge da situação no SECIEPI (consta como indireta para a Associação Piauiense Desenvolver – APD). Ofício de impedimento enviado para a vereadora em 12/03/2026.
ELZUILA CALISTO,2026,00046.009463/2025-62,1/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. MUTIRÃO DE OFTALMOLOGIA.",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 707.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
ENZO SAMUEL,2025,00046.002699/2024-42,8/2025,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. PROJETO: REDE INTEGRAR.",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 500.000,00","R$ 500.000,00","R$ 500.000,00","100,00%",Em execução,2ª Parcela paga em 08/09/2026. Aguardando Prestação de Contas
ENZO SAMUEL,2025,00046.002698/2024-69,7/2025,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. PROJETO: REDE INTEGRAR 2.0",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 400.000,00","R$ 400.000,00","R$ 0,00","0,00%",Validada,Aguardando finalização da Emenda 00046.002699/2024-42 para que não ocorra sobreposição do objeto.
ENZO SAMUEL,2025,00046.002700/2024-15,9/2025,Dispensação de bolsas para usuários ostomizados atendidos pelo CISLA,DIRETA,FMS,DAE,"R$ 434.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Objeto mudado em 15/12/2026.
ENZO SAMUEL,2026,00046.009479/2025-18,8/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. Realização de Mutirões.",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 503.500,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
ENZO SAMUEL,2026,00046.009478/2025-45,7/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. Realização de Mutirões.",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 503.500,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
ENZO SAMUEL,2026,00046.009474/2025-56,3/2026,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. Projeto Teresina que Cuida: Ação Integrada em Feridas e Ostomias.,INDIRETA,Clínica Batista Peggy Pemble,DAE,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,Está na DPLAN aguardando mudanças no plano de trabalho pela Clínica Batista.
EVANDRO HIDD,2025,00046.002703/2024-31,3/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DAE,"R$ 1.334.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
FERNANDA GOMES,2025,00046.002680/2024-70,6/2025,Projeto Saúde em Foco: Atendimento Especializado e Acessível para Crianças e Adolescentes no SUS,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 500.000,00","R$ 500.000,00","R$ 500.000,00","100,00%",Em execução,"Pago em sua totalidade, agurdando prestação de contas"
FERNANDA GOMES,2025,00046.002681/2024-43,7/2025,Fortalecimento da Assistência Farmacêutica no âmbito da Atenção Primária em Saúde (UBS),DIRETA,FMS,DAB,"R$ 334.000,00","R$ 331.859,8","R$ 292.997,07","90,75%",Em execução,"Foi anulado R$ 9.004,80"
FERNANDA GOMES,2025,00046.002682/2024-16,8/2025,Projeto Trajetórias Vivas,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 500.000,00","R$ 500.000,00","R$ 0,00","0,00%",Validada,Aguardando finalização da Emenda 6/2026 para não ocorrer sobreposição de objeto
FERNANDA GOMES,2026,00046.009487/2025-93,6/2026,Projeto Visão Infantil e Saúde Integral: Diagnóstico Oftalmológico e Avaliações Multiprofissionais com Entrega de Óculos - Zona Rural Sul,INDIRETA,Clínica Batista Peggy Pemble,DAB,"R$ 711.325,00","R$ 0,00","R$ 0,00","0,00%",Em validação,No Conselho Municipal de Saúde para análise da Habilitação da Organização.
FERNANDA GOMES,2026,00046.009488/2025-66,7/2026,Aquisição de Equipamentos para Atenção Especializada - Aquisição de Moto para o SAMU,DIRETA,FMS,DAE,"R$ 44.394,92","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,Ofício de impedimento enviado para a vereadora em 06/05/2026.
FERNANDA GOMES,2026,00046.009489/2025-39,8/2026,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS Projeto Longevidade Ativa: Saúde e Bem-Estar no Envelhecimento,INDIRETA,Clínica Batista Peggy Pemble,DAE,"R$ 711.325,00","R$ 0,00","R$ 0,00","0,00%",Em validação,Processo está na DPLAN aguardando as mudanças no plano de trabalho pela Clínica Batista.
FERNANDO LIMA,2026,00046.009497/2025-17,7/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. Mutirão Saúde Inclusiva – Diagnóstico e Acompanhamento Multiprofissional de Crianças e Adolescentes PCD.",INDIRETA,Associação Viva com Esperança,DRCAA,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
GUSTAVO CARVALHO,2025,00046.002668/2024-06,6/2025,"Realização de multirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 1.334.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
INÁCIO CARVALHO,2026,00046.009501/2025-06,1/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. Projeto Mutirão da Saúde Ocular",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
ISMAEL SILVA,2025,00046.002671/2024-22,1/2025,Assistência Nutricional: Dispensação de dietas enterais para adulto ou fórmulas infantis especiais para usuário do SUS (GENUT/FMS),DIRETA,FMS,DAE,"R$ 1.000.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
ISMAEL SILVA,2025,00046.002678/2024-27,6/2025,"Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. Acolhimento, capacitação e defesa dos direitos da Pessoa com Deficiência",INDIRETA,ASSOCIACÃO DOS AMIGOS E FAMILIARES DA PESSOA COM AUTISMO – AAFAPA - PRISMAS,DAE,"R$ 344.000,00","R$ 344.000,00","R$ 344.000,00","100,00%","Finalizada, executada",Prestação de Contas Final no proceso: 00045.076723/2025-29. Está na CGM desde 14/05/2026.
ISMAEL SILVA,2026,00046.009515/2025-16,7/2026,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. Clube da Gestante,INDIRETA,"Associação de Apoio Assistencial, Cultural e Educacional Maria do Amparo-AACEMA",DAB,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
ISMAEL SILVA,2026,00046.009514/2025-43,6/2026,"Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. Acolhimento, capacitação e defesa dos direitos da Pessoa com Deficiência.",INDIRETA,ASSOCIACÃO DOS AMIGOS E FAMILIARES DA PESSOA COM AUTISMO – AAFAPA - PRISMAS,DAE,"R$ 300.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,Impedimento de Ordem Técnica. Emenda está no SEI com execução direta. Ofício enviado pela SEMPLAN ao vereador em 02/06/2026.
ISMAEL SILVA,2026,00046.009509/2025-81,1/2026,Assistência Nutricional: Dispensação de dietas enterais para adulto ou fórmulas infantis especiais para usuário do SUS (GENUT/FMS),DIRETA,FMS,DAE,"R$ 707.000,00","R$ 706.929,66","R$ 509.377,86","72,05%",Em execução,Em execução. 
JAMES GUERRA,2026,00046.009424/2025-48,1/2026,Reforma de Unidade Básica de Saúde – UBS. Reforma da UBS Reginaldo M Castro – Renascença,DIRETA,FMS,DAB,"R$ 506.000,00","R$ 506.000,00","R$ 0,00","0,00%",Em execução,"Empenho emitido. Ordem de Serviço nº 01/2026 (Contrato nº 356/2026 - F E L Construtora LTDA) enviada para a empresa. Ordem de serviço no valor de R$ 488.499,00. Programado para setembro ""desmobilizar"" a UBS e iniciar a execução dos serviços."
